Title: Saturn's G and D rings provide nearly complete measured scattering/phase 
       functions of nearby debris disks  
Authors: Hedman M.M., Stark C.C. 
Table: Normal Equivalent Width estimates for D68 derived from entire images, 
       almost all of which were obtained at scattering angles above 15 deg
================================================================================
Byte-by-byte Description of file: apj519262t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label    Explanations
--------------------------------------------------------------------------------
   1- 11 A11    ---   Image    Image Name
  13- 28 F16.6  s     ET       Ephemeris Time; seconds past J2000 epoch
  30- 35 F6.2   deg   {theta}  Scattering angle at the ring
  37- 42 F6.2   deg   B        Opening angle of the ring to the spacecraft
  44- 48 F5.2   m     NEW-INT  Normal equivalent width; Integrated Method
  50- 53 F4.2   m     NEW-FIT  Normal equivalent width; Fit Method
--------------------------------------------------------------------------------
N1721658014 396235731.719373  10.67  -9.57  6.59 5.42 
N1547167883 221746779.842845  17.32  25.93  3.03 2.75 
N1547168273 221747169.840369  17.32  25.90  2.58 2.72 
N1547167493 221746389.845322  17.32  25.97  2.95 2.77 
N1547167103 221745999.847799  17.33  26.01  3.43 2.85 
N1547166713 221745609.850276  17.33  26.04  2.62 2.88 
N1547166323 221745219.852752  17.33  26.08  3.05 2.95 
N1547165933 221744829.855229  17.33  26.12  3.11 2.90 
N1547165543 221744439.857706  17.33  26.15  3.02 2.92 
N1547165153 221744049.860183  17.34  26.19  2.82 2.87 
N1547164763 221743659.862659  17.34  26.23  3.10 2.80 
N1547164373 221743269.865136  17.34  26.26  3.22 2.87 
N1547163983 221742879.867613  17.34  26.30  2.86 2.87 
N1547163593 221742489.870089  17.35  26.33  2.76 2.80 
N1547163203 221742099.872566  17.35  26.37  2.89 2.87 
N1547162813 221741709.875043  17.35  26.41  2.85 2.88 
N1547162423 221741319.877520  17.36  26.44  3.14 2.93 
N1547162033 221740929.879996  17.36  26.48  2.87 2.82 
N1547161643 221740539.882473  17.36  26.52  2.55 2.74 
N1547161253 221740149.884950  17.37  26.55  2.03 2.59 
N1547160863 221739759.887427  17.37  26.59  2.53 2.59 
N1547160473 221739369.889903  17.37  26.62  2.83 2.78 
N1547160083 221738979.892380  17.38  26.66  2.78 2.69 
N1547158133 221737029.904764  17.40  26.84  2.62 2.62 
N1547157743 221736639.907240  17.41  26.87  2.59 2.57 
N1547157353 221736249.909717  17.41  26.91  2.53 2.51 
N1547156963 221735859.912194  17.41  26.95  2.64 2.60 
N1547156573 221735469.914670  17.42  26.98  2.64 2.44 
N1547156183 221735079.917147  17.43  27.02  2.54 2.60 
N1547155793 221734689.919624  17.43  27.05  2.49 2.63 
N1547155403 221734299.922101  17.44  27.09  2.89 2.69 
N1547155013 221733909.924577  17.44  27.13  2.70 2.70 
N1547154623 221733519.927054  17.45  27.16  2.38 2.57 
N1547154233 221733129.929531  17.45  27.20  2.80 2.69 
N1547153843 221732739.932008  17.46  27.23  2.52 2.49 
N1547153063 221731959.936961  17.46  27.29  2.76 2.61 
N1547153453 221732349.934484  17.46  27.26  2.51 2.63 
N1547152673 221731569.939438  17.47  27.33  2.78 2.61 
N1547152283 221731179.941914  17.47  27.36  2.78 2.66 
N1547151893 221730789.944391  17.48  27.40  2.70 2.82 
N1547151503 221730399.946868  17.49  27.43  2.90 2.72 
N1547151113 221730009.949345  17.49  27.47  3.01 2.72 
N1547150723 221729619.951821  17.50  27.50  2.84 2.82 
N1547150333 221729229.954298  17.51  27.54  3.40 2.89 
N1547149943 221728839.956775  17.51  27.57  3.08 2.87 
N1547149553 221728449.959252  17.52  27.61  3.17 2.85 
N1547149163 221728059.961728  17.53  27.64  2.77 2.85 
N1547148773 221727669.964205  17.53  27.68  2.95 2.80 
N1547148383 221727279.966682  17.54  27.71  2.93 2.85 
N1547147993 221726889.969158  17.55  27.75  3.41 2.71 
N1547147603 221726499.971635  17.56  27.78  2.96 2.90 
N1547147213 221726109.974112  17.56  27.82  2.70 2.92 
N1547146823 221725719.976589  17.57  27.85  2.60 2.88 
N1547146433 221725329.979065  17.58  27.89  3.05 3.02 
N1547146043 221724939.981542  17.59  27.93  3.09 2.99 
N1547145653 221724549.984019  17.60  27.96  3.00 3.04 
N1547145263 221724159.986495  17.60  27.99  3.20 3.08 
N1547144873 221723769.988972  17.61  28.03  3.19 2.78 
N1547144483 221723379.991449  17.62  28.06  3.37 2.86 
N1547144093 221722989.993926  17.63  28.10  2.46 2.70 
N1547143703 221722599.996402  17.64  28.13  3.27 2.71 
N1547143313 221722209.998879  17.65  28.17  2.81 2.48 
N1547142923 221721820.001356  17.65  28.20  2.68 2.57 
N1547142533 221721430.003833  17.66  28.24  2.54 2.50 
N1547141753 221720650.008786  17.68  28.31  2.51 2.51 
N1547141363 221720260.011263  17.69  28.34  2.24 2.34 
N1547140973 221719870.013739  17.70  28.38  2.83 2.45 
N1547140583 221719480.016216  17.71  28.41  2.01 2.40 
N1547140193 221719090.018693  17.72  28.45  2.70 2.49 
N1547139803 221718700.021170  17.73  28.48  2.20 2.41 
N1547139413 221718310.023646  17.74  28.51  3.13 2.60 
N1547139023 221717920.026123  17.75  28.55  2.27 2.49 
N1547138633 221717530.028600  17.76  28.58  2.30 2.53 
N1547138243 221717140.031077  17.77  28.62  2.56 2.59 
