Co-rotating                                                         Phase-Corrected Normal Equivalent Width (m)
Longitude                Rev 201        Rev 206         Rev 211        Rev 212        Rev 218        Rev 228        Rev 231       Rev 231        Rev 233        
(degrees)                DRNGMOV        DRLPMOV         DRCLOSE        DRCLOSE        HPLELR         HPLELR         DRCLOSE       FNTHPMOV       FNTHPMOV  
==========================================================================================================================================================
        -180.00          37.55           0.79           0.00           0.00           0.00           0.00           0.00          30.48          25.94
        -179.90          37.29          10.50           0.00           0.00           0.00           0.00           0.00          31.41          25.77
        -179.80          37.48          12.90           0.00           0.00           0.00           0.00           0.00          29.52          24.04
        -179.70          36.42          10.07           0.00           0.00           0.00           0.00           0.00          27.41          27.64
        -179.60          37.39          19.82           0.00           0.00           0.00           0.00           0.00          22.63          27.47
        -179.50          37.83          48.78           0.00           0.00           0.00           0.00           0.00          23.48          27.40
        -179.40          36.37          22.50           0.00           0.00           0.00           0.00           0.00          27.81          27.10
        -179.30          35.60          12.10           0.00           0.00           0.00           0.00           0.00          19.91          27.14
        -179.20          37.03          30.44           0.00           0.00           0.00           0.00           0.00          20.47          28.31
        -179.10          39.02          27.75           0.00           0.00           0.00           0.00           0.00          29.74          30.38
        -179.00          39.29          34.89           0.00           0.00           0.00           0.00           0.00          27.56          29.58
        -178.90          39.15          27.61           0.00           0.00           0.00          15.59           0.00          27.04          28.27
        -178.80          39.77          18.43           0.00           0.00           0.00          18.57           0.00          28.37          26.24
        -178.70          39.27          17.08           0.00           0.00           0.00          19.78           0.00          26.30          24.23
        -178.60          38.09          28.64           0.00           0.00           0.00          20.38           0.00          26.21          25.45
        -178.50          35.89          25.37           0.00           0.00           0.00          20.53           0.00          27.27          24.07
        -178.40          39.16          20.72           0.00           0.00           0.00          20.55           0.00          25.82          22.74
        -178.30          39.88          22.47           0.00           0.00           0.00          18.91           0.00          24.14          25.13
        -178.20          36.84          17.23           0.00           0.00           0.00          18.83           0.00          21.53          24.40
        -178.10          37.01          14.15           0.00           0.00           0.00          20.55           0.00          21.35          26.08
        -178.00          35.98          19.47           0.00           0.00           0.00          21.10           0.00          23.39          26.30
        -177.90          37.02          27.43           0.00           0.00           0.00          21.26           0.00          22.31          26.26
        -177.80          36.81          22.24           0.00           0.00           0.00          21.79           0.00          23.74          27.70
        -177.70          37.18          22.50           0.00           0.00           0.00          21.61           0.00          22.77          25.50
        -177.60          38.75          23.43           0.00           0.00           0.00          21.79           0.00          23.82          27.68
        -177.50          38.38          34.29           0.00           0.00           0.00          22.33           0.00          25.84          25.66
        -177.40          38.57          34.32           0.00           0.00           0.00          23.13           0.00          27.91          25.51
        -177.30          38.51          21.52           0.00           0.00           0.00          23.30           0.00          24.61          25.60
        -177.20          35.99          20.93           0.00           0.00           0.00          23.23           0.00          24.56          24.42
        -177.10          36.37          31.80           0.00           0.00           0.00          23.71           0.00          27.00          24.82
        -177.00          37.08          23.61           0.00           0.00           0.00          23.79           0.00          22.71          26.47
        -176.90          36.92           3.54           0.00           0.00           0.00          24.00           0.00          26.88          25.88
        -176.80          37.43          17.59           0.00           0.00           0.00          24.81           0.00          27.62          24.41
        -176.70          37.44          17.77           0.00           0.00           0.00          25.09           0.00          26.91          24.89
        -176.60          38.59          23.29           0.00           0.00           0.00          25.25           0.00          23.33          26.67
        -176.50          37.28          24.54           0.00           0.00           0.00          25.39           0.00          18.98          27.50
        -176.40          35.07          23.52           0.00           0.00           0.00          25.46           0.00          17.77          25.77
        -176.30          37.20          34.38           0.00           0.00           0.00          25.50           0.00          28.10          26.77
        -176.20          37.01          31.84           0.00           0.00           0.00          25.51           0.00          30.49          24.93
        -176.10          36.53          35.95           0.00           0.00           0.00          25.90           0.00          25.80          25.15
        -176.00          36.19          40.80           0.00           0.00           0.00          26.04           0.00          24.71          24.78
        -175.90          37.72          34.70           0.00           0.00           0.00          25.99           0.00          22.92          24.56
        -175.80          37.73          32.73           0.00           0.00           0.00          25.81           0.00          24.08          26.81
        -175.70          37.79          29.42           0.00           0.00           0.00          25.85           0.00          22.67          26.35
        -175.60          37.43          22.81           0.00           0.00           0.00          25.94           0.00          25.74          25.07
        -175.50          39.27          23.47           0.00           0.00           0.00          26.04           0.00          25.92          26.35
        -175.40          39.03          18.35           0.00           0.00           0.00          26.20           0.00          28.16          26.02
        -175.30          39.13           5.95           0.00           0.00           0.00          26.26           0.00          26.99          25.44
        -175.20          37.38           6.54           0.00           0.00           0.00          26.29           0.00          21.56          24.83
        -175.10          37.38          15.74           0.00           0.00           0.00          26.15           0.00          26.78          24.65
        -175.00          37.32          27.70           0.00           0.00           0.00          26.05           0.00          25.92          25.30
        -174.90          35.73          23.55           0.00           0.00           0.00          26.10           0.00          18.74          25.62
        -174.80          33.83          19.35           0.00           0.00           0.00          26.11           0.00          20.05          25.05
        -174.70          35.17          16.96           0.00           0.00           0.00          26.13           0.00          26.83          25.99
        -174.60          37.74          34.11           0.00           0.00           0.00          26.16           0.00          23.89          26.13
        -174.50          36.05          43.05           0.00           0.00           0.00          26.01           0.00          20.72          25.95
        -174.40          37.51          44.39           0.00           0.00           0.00          25.80           0.00          16.13          25.83
        -174.30          38.98          34.51           0.00           0.00           0.00          25.56           0.00          19.40          25.45
        -174.20          37.14          30.60           0.00           0.00           0.00          25.45           0.00          20.34          26.78
        -174.10          38.21          18.53           0.00           0.00           0.00          25.47           0.00          22.47          26.71
        -174.00          38.04          14.00           0.00           0.00           0.00          25.48           0.00          28.33          24.13
        -173.90          39.96          11.45           0.00           0.00           0.00          25.55           0.00          25.86          25.33
        -173.80          38.58          12.64           0.00           0.00           0.00          25.61           0.00          24.64          26.79
        -173.70          37.84          24.93           0.00           0.00           0.00          25.29           0.00          21.10          26.03
        -173.60          39.78          28.00           0.00           0.00           0.00          24.87           0.00          21.41          28.18
        -173.50          38.85          37.15           0.00           0.00           0.00          24.77           0.00          20.85          26.64
        -173.40          37.34          31.21           0.00           0.00           0.00          24.75           0.00          19.06          25.36
        -173.30          37.34          48.65           0.00           0.00           0.00          24.74           0.00          21.30          27.17
        -173.20          37.71          59.26           0.00           0.00           0.00          24.79           0.00          18.50          27.17
        -173.10          37.29          30.11           0.00           0.00           0.00          24.83           0.00          16.59          24.36
        -173.00          37.24          16.00           0.00           0.00           0.00           0.00           0.00          18.27          26.50
        -172.90          36.21          21.94           0.00           0.00           0.00           0.00           0.00          15.17          26.75
        -172.80          37.33          25.13           0.00           0.00           0.00           0.00           0.00          13.35          24.94
        -172.70          37.11          19.55           0.00           0.00           0.00           0.00           0.00          20.42          24.97
        -172.60          37.80          19.76           0.00           0.00           0.00           0.00           0.00          23.85          25.08
        -172.50          39.30          17.29           0.00           0.00           0.00           0.00           0.00          26.26          25.05
        -172.40          38.14          22.37           0.00           0.00           0.00           0.00           0.00          24.31          25.13
        -172.30          38.10          19.46           0.00           0.00           0.00           0.00           0.00          22.90          26.48
        -172.20          36.16          21.66           0.00           0.00           0.00           0.00           0.00          17.23          27.11
        -172.10          35.93          18.09           0.00           0.00           0.00           0.00           0.00          18.31          27.51
        -172.00          37.27          14.90           0.00           0.00           0.00           0.00           0.00          19.40          26.07
        -171.90          38.84          15.63           0.00           0.00           0.00           0.00           0.00          23.41          27.48
        -171.80          37.84          17.93           0.00           0.00           0.00           0.00           0.00          28.86          26.93
        -171.70          36.35          20.69           0.00           0.00           0.00           0.00           0.00          38.35          26.14
        -171.60          35.77          27.63           0.00           0.00           0.00           0.00           0.00          37.04          25.95
        -171.50          35.03          25.32           0.00           0.00           0.00           0.00           0.00          18.29          26.56
        -171.40          36.11          31.74           0.00           0.00           0.00           0.00           0.00          16.99          25.29
        -171.30          39.01          42.06           0.00           0.00           0.00           0.00           0.00          19.25          25.69
        -171.20          38.83          34.87           0.00           0.00           0.00           0.00           0.00          17.74          24.87
        -171.10          34.84          28.41           0.00           0.00           0.00           0.00           0.00          21.84          24.62
        -171.00          34.65          21.74           0.00           0.00           0.00           0.00           0.00          23.21          24.46
        -170.90          35.70          27.85           0.00           0.00           0.00           0.00          34.07          19.48          23.78
        -170.80          35.15          51.52           0.00           0.00           0.00           0.00          33.68          21.08          24.88
        -170.70          35.35          37.99           0.00           0.00           0.00           0.00          33.37          21.18          24.96
        -170.60          35.94          19.98           0.00           0.00           0.00           0.00          33.63          19.22          27.84
        -170.50          35.99           3.34           0.00           0.00           0.00           0.00          33.54          23.88          24.07
        -170.40          36.11          21.15           0.00           0.00           0.00           0.00          33.72          19.54          25.46
        -170.30          37.80          19.11           0.00           0.00           0.00           0.00          33.73          16.03          23.80
        -170.20          37.32          20.49           0.00           0.00           0.00           0.00          32.82          18.27          24.17
        -170.10          37.30          20.84           0.00           0.00           0.00           0.00          33.01          17.92          24.33
        -170.00          35.80          26.38           0.00           0.00           0.00           0.00          33.14          17.12          24.02
        -169.90          35.44          17.81           0.00           0.00           0.00           0.00          32.45          20.58          25.34
        -169.80          34.67           3.35           0.00           0.00           0.00           0.00          32.50          17.20          25.44
        -169.70          37.56          -6.10           0.00           0.00           0.00           0.00          33.66          19.59          25.25
        -169.60          36.34           8.48           0.00           0.00           0.00           0.00          33.60          16.96          26.40
        -169.50          37.23          21.65           0.00           0.00           0.00           0.00          33.57          17.62          26.52
        -169.40          35.81          31.56           0.00           0.00           0.00           0.00          32.99          21.68          25.88
        -169.30          26.82          36.74           0.00           0.00           0.00           0.00          32.81          26.54          26.82
        -169.20          34.00          27.48           0.00           0.00           0.00           0.00          33.02          27.21          26.07
        -169.10          36.65          31.73           0.00           0.00           0.00           0.00          33.21          20.39          26.60
        -169.00          35.61          25.78           0.00           0.00           0.00           0.00          33.09          24.94          27.21
        -168.90          35.06          17.64           0.00           0.00           0.00           0.00          33.66          22.07          27.05
        -168.80          34.77           4.55           0.00           0.00           0.00           0.00          33.40          13.34          26.35
        -168.70          33.46          35.62           0.00           0.00           0.00           0.00          33.74          11.07          25.80
        -168.60          36.00          21.49           0.00           0.00           0.00           0.00          33.78          20.65          26.30
        -168.50          37.19          10.65           0.00           0.00           0.00          12.21          33.89          22.69          25.77
        -168.40          38.06           8.52           0.00           0.00           0.00          15.55          35.92          17.86          26.58
        -168.30          37.39          10.38           0.00           0.00           0.00          16.08          33.75          15.67          26.50
        -168.20          34.38          21.27           0.00           0.00           0.00          16.44          34.40          20.44          26.75
        -168.10          35.25          25.51           0.00           0.00           0.00          16.97          33.41          18.61          24.75
        -168.00          35.15          20.73           0.00           0.00           0.00          18.08          34.19          20.70          24.82
        -167.90          34.04          -2.17           0.00           0.00           0.00          18.72          33.23          17.12          25.21
        -167.80          34.32           9.75           0.00           0.00           0.00          16.86          33.68          19.34          25.74
        -167.70          35.95          31.50           0.00           0.00           0.00          17.17          34.19          22.99          26.59
        -167.60          36.83          43.26           0.00           0.00           0.00          18.57          33.52          19.47          27.00
        -167.50          33.90          35.80           0.00           0.00           0.00          18.85          33.60          19.12          27.63
        -167.40          34.22          25.40           0.00           0.00           0.00          19.40          34.06          18.13          25.95
        -167.30          35.33          34.05           0.00           0.00           0.00          20.08          34.03          15.56          26.97
        -167.20          35.57           0.44           0.00           0.00           0.00          20.41          33.94          20.42          25.66
        -167.10          34.30         -27.99           0.00           0.00           0.00          20.74          33.95          17.37          23.46
        -167.00          32.94          -8.72           0.00           0.00           0.00          20.94          33.87          20.69          22.78
        -166.90          34.18         -18.01           0.00           0.00           0.00          21.46          34.18          21.62          22.79
        -166.80          37.25          14.25           0.00           0.00           0.00          21.95          34.14          18.42          22.35
        -166.70          33.82          32.75           0.00           0.00           0.00          22.19          34.16          21.19          26.25
        -166.60          33.90          23.46           0.00           0.00           0.00          23.41          34.31          13.75          26.28
        -166.50          34.12          13.53           0.00           0.00           0.00          23.49          34.24          18.68          27.13
        -166.40          35.95          23.77           0.00           0.00           0.00          23.92          33.95          18.73          27.03
        -166.30          35.79          -1.26           0.00           0.00           0.00          24.28          34.18          18.08          27.54
        -166.20          35.24          -0.70           0.00           0.00           0.00          24.80          34.01          18.11          27.05
        -166.10          35.32          20.39           0.00           0.00           0.00          24.90          34.12          17.69          28.11
        -166.00          32.38          16.10           0.00           0.00           0.00          25.09          34.32          18.70          27.50
        -165.90          33.95           8.47           0.00           0.00           0.00          25.38          34.31          18.23          27.91
        -165.80          35.03          13.35           0.00           0.00           0.00          25.36          34.52          20.61          27.43
        -165.70          32.44           5.93           0.00           0.00           0.00          25.62          34.66          18.78          26.35
        -165.60          32.04          -1.18           0.00           0.00           0.00          25.68          34.16          19.17          25.52
        -165.50          32.46           1.75           0.00           0.00           0.00          25.94          34.25          22.96          25.86
        -165.40          33.52          10.29           0.00           0.00           0.00          25.88          34.54          18.54          26.18
        -165.30          32.36          18.72           0.00           0.00           0.00          25.95          34.00          18.46          24.69
        -165.20          31.43           3.68           0.00           0.00           0.00          26.03          34.27          16.89          24.54
        -165.10          31.92           0.17           0.00           0.00           0.00          25.96          34.20          17.23          24.93
        -165.00          31.83           2.32           0.00           0.00           0.00          26.00          34.48          17.27          23.91
        -164.90          32.88          12.91           0.00           0.00           0.00          26.10          34.66          16.35          23.72
        -164.80          33.17          16.59           0.00           0.00           0.00          26.15          34.74          17.64          25.92
        -164.70          31.65           7.75           0.00           0.00           0.00          26.11          34.45          13.74          25.73
        -164.60          31.61          15.11           0.00           0.00           0.00          26.09          34.56          15.62          26.27
        -164.50          32.39          30.12           0.00           0.00           0.00          26.21          34.98          17.35          25.84
        -164.40          31.79          34.03           0.00           0.00           0.00          26.21          34.76          18.35          25.53
        -164.30          32.32          25.07           0.00           0.00           0.00          26.15          33.35          18.64          25.81
        -164.20          32.48          41.80           0.00           0.00           0.00          26.30          32.35          18.27          25.73
        -164.10          31.59          42.57           0.00           0.00           0.00          26.48          32.52          20.76          25.15
        -164.00          32.52          35.76           0.00           0.00           0.00          26.63          32.59          16.22          25.11
        -163.90          30.71          36.93           0.00           0.00           0.00          26.51          32.62          22.66          25.43
        -163.80          31.75          41.90           0.00           0.00           0.00          26.91          32.79          18.59          26.44
        -163.70          30.27          31.61           0.00           0.00           0.00          27.03          33.49           6.97          27.11
        -163.60          33.43          26.58           0.00           0.00           0.00          27.01          32.70          11.73          25.72
        -163.50          34.72          34.71           0.00           0.00           0.00          26.92          33.11          16.46          26.03
        -163.40          33.35          33.22           0.00           0.00           0.00          27.03          32.89          18.48          26.63
        -163.30          34.54          24.54           0.00           0.00           0.00          27.12          33.41          25.99          27.39
        -163.20          36.87          20.64           0.00           0.00           0.00          27.05          33.35          23.88          27.92
        -163.10          36.77          22.05           0.00           0.00           0.00          26.89          33.18          22.76          27.41
        -163.00          37.65          14.47           0.00           0.00           0.00          26.96          33.47          23.66          26.28
        -162.90          36.86          11.70           0.00           0.00           0.00          26.97          33.30          26.16          28.21
        -162.80          35.54           7.90           0.00           0.00           0.00          27.37          33.24          20.02          28.40
        -162.70          35.17           0.41           0.00           0.00           0.00          26.70          33.68          20.05          27.73
        -162.60          33.86           5.30           0.00           0.00           0.00          26.85          33.65          21.32          27.73
        -162.50          34.98          15.59           0.00           0.00           0.00          26.99          33.61          21.14          27.36
        -162.40          35.75           1.43           0.00           0.00           0.00          27.01          33.18          19.41          26.86
        -162.30          34.29           4.74           0.00           0.00           0.00          26.26          33.60          26.63          27.68
        -162.20          35.52          19.85           0.00           0.00           0.00          26.04          33.37          19.97          28.32
        -162.10          34.62          18.11           0.00           0.00           0.00          25.84          33.44          17.32          26.74
        -162.00          36.55          24.88           0.00           0.00           0.00           0.00          32.99          20.26          26.74
        -161.90          35.23          20.85           0.00           0.00           0.00           0.00          33.36          26.50          25.62
        -161.80          34.98          13.99           0.00           0.00           0.00           0.00          33.11          29.27          25.81
        -161.70          35.74          39.87           0.00           0.00           0.00           0.00          33.20          26.38          27.59
        -161.60          34.15          46.01           0.00           0.00           0.00           0.00          32.66          25.83          27.48
        -161.50          34.63          36.83           0.00           0.00           0.00           0.00          32.70          24.23          27.33
        -161.40          36.28          21.84           0.00           0.00           0.00           0.00          32.90          22.48          27.27
        -161.30          35.73          24.62           0.00           0.00           0.00           0.00          32.88          22.53          24.68
        -161.20          34.80          29.52           0.00           0.00           0.00           0.00          32.90          23.48          25.40
        -161.10          36.76          27.35           0.00           0.00           0.00           0.00          32.68          24.78          27.46
        -161.00          37.19          20.71           0.00           0.00           0.00           0.00          32.63          22.29          27.99
        -160.90          35.58          24.04           0.00           0.00           0.00           0.00          32.64          22.95          26.96
        -160.80          35.15          10.04           0.00           0.00           0.00           0.00          32.48          23.07          25.79
        -160.70          34.71           8.21           0.00           0.00           0.00           0.00          32.47          20.56          26.05
        -160.60          36.88          17.40           0.00           0.00           0.00           0.00          32.59          22.63          23.38
        -160.50          33.97          26.57           0.00           0.00           0.00           0.00          32.69          24.74          27.71
        -160.40          34.91          41.98           0.00           0.00           0.00           0.00          32.50          25.31          27.94
        -160.30          34.62          36.77           0.00           0.00           0.00           0.00          32.50          23.98          28.39
        -160.20          34.23          35.26           0.00           0.00           0.00           0.00          32.41          19.80          27.81
        -160.10          34.38          38.46           0.00           0.00           0.00           0.00          32.03          28.07          28.41
        -160.00          36.05          27.84           0.00           0.00           0.00           0.00          29.14          24.68          29.23
        -159.90          36.10          12.21           0.00           0.00           0.00           0.00          29.13          20.81          28.33
        -159.80          36.47           6.00           0.00           0.00           0.00           0.00          28.96          24.85          28.16
        -159.70          37.64          -0.97           0.00           0.00           0.00           0.00          29.61          27.23          27.65
        -159.60          37.18           0.17           0.00           0.00           0.00           0.00          29.33          26.29          27.01
        -159.50          36.57          10.28           0.00           0.00           0.00           0.00          28.73          24.62          27.59
        -159.40          35.51          10.71           0.00           0.00           0.00           0.00          28.95          19.25          24.53
        -159.30          35.27          10.53           0.00           0.00           0.00           0.00          29.11          19.62          25.09
        -159.20          35.35          16.90           0.00           0.00           0.00           0.00          29.03          28.60          26.12
        -159.10          34.72          31.35           0.00           0.00           0.00           0.00          29.19          21.94          25.95
        -159.00          34.73          22.41           0.00           0.00           0.00           0.00          28.78          12.42          26.30
        -158.90          36.96          23.88           0.00           0.00           0.00           0.00          28.36          22.63          30.29
        -158.80          36.56          23.05           0.00           0.00           0.00           0.00          29.26          23.51          33.92
        -158.70          36.34          24.97           0.00           0.00           0.00           0.00          29.01          25.47          25.99
        -158.60          34.47          12.61           0.00           0.00           0.00           0.00          28.73          27.66          24.01
        -158.50          37.21           8.48           0.00           0.00           0.00           0.00          28.73          26.20          25.21
        -158.40          37.95           7.84           0.00           0.00           0.00           0.00          28.21          28.40          26.06
        -158.30          35.71          26.04           0.00           0.00           0.00           0.00          27.95          22.04          25.81
        -158.20          36.80          17.96           0.00           0.00           0.00           0.00          28.49          20.41          25.51
        -158.10          37.68           6.87           0.00           0.00           0.00           0.00          28.34          18.29          26.90
        -158.00          37.23          20.92           0.00           0.00           0.00           0.00          29.24          22.08          26.50
        -157.90          37.17          22.77           0.00           0.00           0.00           0.00           0.00          24.18          25.95
        -157.80          37.75          16.06           0.00           0.00           0.00           0.00           0.00          22.34          26.30
