Co-rotating                                    Phase-Corrected Normal Equivalent Width (m)
Longitude                Rev 233        Rev 245        Rev 256         Rev 263        Rev 272        Rev 279        Rev 289
(degrees)                FNTHPMOV       HPCLOSE        HPMONITOR       HIPHASE        HPMONITOR      HPMONITOR      HPMONITOR
=============================================================================================================================
        -180.00          25.86          33.14          32.45           0.00          26.06          31.61           0.00
        -179.90          25.85          32.28          28.95           0.00          25.65          32.70          24.45
        -179.80          24.18          31.38          29.36           0.00          25.50          32.09          25.23
        -179.70          27.39          31.63          30.91           0.00          25.64          30.13          24.75
        -179.60          27.75          32.16          31.14           0.00          26.32          30.11          25.47
        -179.50          27.34          31.13          32.37           0.00          25.88          30.66          25.01
        -179.40          27.26          31.52          34.83           0.00          25.90          30.53          25.50
        -179.30          27.06          31.77          34.42           0.00          26.56          29.55          26.34
        -179.20          28.88          31.51          34.72           0.00          26.49          29.16          24.60
        -179.10          30.69          31.01          34.50           0.00          25.61          29.36          24.37
        -179.00          29.23          31.61          33.26           0.00          25.68          29.15          25.59
        -178.90          28.22          30.43          32.09           0.00          26.88          28.79          25.25
        -178.80          26.09          32.14          31.34           0.00          26.21          30.27          25.73
        -178.70          24.30          30.76          31.17           0.00          25.53          29.68          24.39
        -178.60          25.39          30.72          31.26           0.00          26.35          29.14          25.29
        -178.50          24.29          31.92          30.45           0.00          26.72          29.80          25.94
        -178.40          22.86          31.59          29.94           0.00          25.90          29.58          26.22
        -178.30          25.42          31.16          30.47           0.00          26.15          30.66          25.46
        -178.20          24.62          31.81          30.01           0.00          25.68          32.19          26.60
        -178.10          25.93           0.00          30.22           0.00          25.83          31.99          26.78
        -178.00          26.45           0.00          30.58           0.00           0.00          31.58          26.29
        -177.90          26.21           0.00          30.88           0.00          25.23          31.74          26.63
        -177.80          27.81           0.00          31.33           0.00           0.00          30.77          26.35
        -177.70          26.12           0.00          32.43           0.00          26.05          30.71          26.98
        -177.60          27.04           0.00          31.49           0.00           0.00          31.62          27.33
        -177.50          25.72           0.00          32.57           0.00          26.21          31.74          26.69
        -177.40          25.96           0.00          32.77           0.00           0.00          31.31          27.92
        -177.30          25.02           0.00          33.21           0.00          26.37          32.59          27.76
        -177.20          24.60           0.00          34.10           0.00           0.00          32.83          27.28
        -177.10          24.89           0.00          34.25           0.00          26.59          30.84          26.40
        -177.00          26.23           0.00          34.61           0.00           0.00          32.16          26.06
        -176.90          25.83           0.00          33.81           0.00          25.56          31.71          25.79
        -176.80          24.75           0.00          33.14           0.00           0.00          30.16          26.28
        -176.70          24.84          34.60          32.85           0.00          25.68          31.78          26.30
        -176.60          26.74          34.42          32.58           0.00          26.78          31.61          26.29
        -176.50          27.48          34.24          31.59           0.00          26.45          30.84          26.31
        -176.40          25.88          34.73          32.04           0.00          26.21          32.12          27.88
        -176.30          26.63          34.88          31.02           0.00          26.08          32.26          27.74
        -176.20          24.81          34.61          32.43           0.00          25.59          31.32          27.25
        -176.10          25.30          34.53          32.06           0.00          26.18          31.06          27.45
        -176.00          24.78          34.32          31.97           0.00          25.63          31.31          27.77
        -175.90          24.63          34.73          32.48           0.00          26.40          31.34          28.54
        -175.80          26.36          34.95          32.74           0.00          26.13          32.01          26.83
        -175.70          26.54          34.56          35.29           0.00          26.51          31.81          26.51
        -175.60          25.13          34.01          35.02           0.00          26.53          31.28          28.16
        -175.50          26.22          33.93          35.81           0.00          26.53          31.43          27.71
        -175.40          26.04          35.05          35.71           0.00          26.26          30.71          27.05
        -175.30          25.26          33.89          36.47           0.00          25.90          29.69          27.23
        -175.20          25.17          33.72          35.09           0.00          25.56          30.46          26.62
        -175.10          24.48          33.45          35.46           0.00          26.62          30.43          26.21
        -175.00          25.37          33.80          34.87           0.00          26.23          31.26          25.50
        -174.90          25.51          33.30          35.26           0.00          26.16          30.80          26.13
        -174.80          25.08          33.74          33.87           0.00          26.91          30.68          26.89
        -174.70          26.10          33.41          33.03           0.00          26.77          32.22          25.75
        -174.60          26.24          33.66          32.96           0.00          25.82          30.33          26.80
        -174.50          25.89          33.42          32.40           0.00          26.67          31.14          31.58
        -174.40          25.79          33.52          34.72           0.00          25.73          31.15          25.98
