Co-rotating                                 Phase-Corrected Normal Equivalent Width (m)
Longitude                Rev 037        Rev 039        Rev 168        Rev 173        Rev 198        Rev 201                  
(degrees)                AZDKMRHP       HIPHAMOVD      DRCLOSE        DRNGMOV        DRNGMOV        DRNGMOV 
===============================================================================================================      
        -180.00          24.56          28.94           0.00          36.84          30.05          39.24
        -179.00          25.97          28.83           0.00          36.67          25.43          40.16
        -178.00          24.73          28.99           0.00          38.33          24.48          40.59
        -177.00          26.12          29.03           0.00          33.47          28.03          40.67
        -176.00          26.29          29.25           0.00           0.00          25.91          41.14
        -175.00          23.21          28.89           0.00           0.00          29.64          40.56
        -174.00          26.17          28.64           0.00           0.00          25.17          41.79
        -173.00          25.94          29.23           0.00           0.00          31.76          41.10
        -172.00          24.96          29.19           0.00           0.00          24.02          40.24
        -171.00          25.45          29.55           0.00           0.00          29.76          38.87
        -170.00          25.68          29.52           0.00           0.00          32.70          38.89
        -169.00          28.75          29.44           0.00           0.00          29.74          38.27
        -168.00          25.82          29.48           0.00          36.14          29.32          39.85
        -167.00          25.64          29.48           0.00          38.17          30.02          37.56
        -166.00          26.61          29.67           0.00          34.81          27.41          36.75
        -165.00          29.42          30.25           0.00          37.02          20.15          38.26
        -164.00          28.98          30.48           0.00          36.91          21.04          38.28
        -163.00          28.81          31.19           0.00          37.18          28.91          38.26
        -162.00          24.89          30.86           0.00          37.69          24.05          38.08
        -161.00          27.35          30.79           0.00          38.31          25.17          37.94
        -160.00          27.53          30.44          33.29          32.75          27.92          38.50
        -159.00          26.44          30.17          33.80           0.00          27.99          39.26
        -158.00          26.23          30.26          34.17           0.00          27.58          40.02
        -157.00          27.98          29.74          33.68           0.00          27.44          41.26
        -156.00          26.29          29.77          33.73           0.00          32.85          40.83
        -155.00          29.16          29.35          35.10           0.00          32.75          41.28
        -154.00          26.63          29.42          33.45           0.00          23.63          38.69
        -153.00          25.30          29.01          34.11           0.00          25.77          38.08
        -152.00          31.35          28.90          34.36          32.48          26.67          38.54
        -151.00          25.62          28.72          36.75          38.80          28.53          39.46
        -150.00          27.75          28.76           0.00          36.78          31.36          38.80
        -149.00          27.60          28.50          32.74          35.73          22.77          37.80
        -148.00          22.89          28.17          34.28          38.26          23.89          41.74
        -147.00          22.60          28.31          33.03          36.19          18.41          40.69
        -146.00          25.67          28.85          34.92          36.13          29.05          40.56
        -145.00          21.73          28.89          33.29          37.88          27.74          39.64
        -144.00          24.41          28.62          33.61          35.12          22.77          39.45
        -143.00          24.64          28.17          34.21           0.00          29.98          40.62
        -142.00          22.33          28.44          34.16           0.00          31.60          40.37
        -141.00          26.42          28.34          34.69           0.00          29.83          41.46
        -140.00          29.82          28.74          35.57           0.00          31.35          40.95
        -139.00          28.01          29.11           0.00           0.00          30.47          40.18
        -138.00          25.65          28.86          32.81           0.00          29.25          39.98
        -137.00          27.64          28.65          33.18           0.00          27.97          39.30
        -136.00          26.08          28.95          33.59           0.00          31.36          38.19
