Image Set    Image Name    ET (seconds)   Inertial Long (deg.)   Prom. Long (deg)   Fit Radius (km) 
FMOVIE029a     N1538168640       212747594.          265.8           81.5       139235.0
FMOVIE029a     N1538170788       212749742.          266.0           96.1       139229.3
FMOVIE029a     N1538171326       212750280.          266.1           99.7       139214.4
FMOVIE029a     N1538171864       212750818.          266.1          103.4       139244.5
FMOVIE029a     N1538172402       212751356.          266.2          107.0       139214.8
FMOVIE029a     N1538172940       212751894.          266.2          110.6       139244.9
FMOVIE029a     N1538173478       212752432.          266.3          114.3       139216.9
FMOVIE029a     N1538174016       212752970.          266.3          117.9       139238.3
FMOVIE029a     N1538174554       212753508.          266.4          121.6       139228.2
FMOVIE029a     N1538175092       212754046.          266.4          125.2       139242.8
FMOVIE029a     N1538176706       212755660.          266.6          136.1       139215.2
FMOVIE029a     N1538177782       212756736.          266.7          143.4       139202.0
FMOVIE029a     N1538178320       212757274.          266.7          147.1       139233.7
FMOVIE029a     N1538178858       212757812.          266.7          150.7       139240.6
FMOVIE029a     N1538179396       212758350.          266.8          154.3       139268.0
FMOVIE029a     N1538179934       212758888.          266.8          158.0       139255.0
FMOVIE029a     N1538180472       212759426.          266.9          161.6       139247.9
FMOVIE029a     N1538181010       212759964.          266.9          165.3       139263.2
FMOVIE029a     N1538181548       212760502.          267.0          168.9       139258.6
FMOVIE029a     N1538182086       212761040.          267.0          172.6       139277.2
FMOVIE029a     N1538183162       212762116.          267.1          179.8       139307.8
FMOVIE029a     N1538183700       212762654.          267.2          183.5       139229.3
FMOVIE029a     N1538184776       212763730.          267.2          190.8       139242.8
FMOVIE029a     N1538185852       212764806.          267.3          198.1       139243.8
FMOVIE029a     N1538186390       212765344.          267.4          201.7       139239.0
FMOVIE029a     N1538186928       212765882.          267.4          205.4       139244.2
FMOVIE029a     N1538187466       212766420.          267.5          209.1       139249.2
FMOVIE029a     N1538188542       212767496.          267.6          216.4       139245.9
FMOVIE029a     N1538189618       212768572.          267.6          223.7       139247.3
FMOVIE029a     N1538190156       212769110.          267.7          227.3       139286.6
FMOVIE029a     N1538190694       212769648.          267.7          231.0       139242.6
FMOVIE029a     N1538191232       212770186.          267.8          234.7       139245.8
FMOVIE029a     N1538191770       212770724.          267.8          238.3       139253.3
FMOVIE029a     N1538192308       212771262.          267.9          242.0       139248.7
FMOVIE029a     N1538192846       212771800.          267.9          245.6       139264.1
FMOVIE029a     N1538193384       212772338.          267.9          249.3       139272.4
FMOVIE029a     N1538193922       212772876.          268.0          253.0       139269.4
FMOVIE029a     N1538194460       212773414.          268.0          256.6       139238.5
FMOVIE029a     N1538194998       212773952.          268.1          260.3       139285.4
FMOVIE029a     N1538195536       212774490.          268.1          264.0       139285.2
FMOVIE029a     N1538196074       212775028.          268.1          267.6       139247.1
FMOVIE029a     N1538196612       212775566.          268.2          271.3       139217.5
FMOVIE029a     N1538197150       212776104.          268.2          275.0       139231.2
FMOVIE029a     N1538197688       212776642.          268.3          278.7       139228.3
FMOVIE029a     N1538198226       212777180.          268.3          282.3       139228.6
FMOVIE029a     N1538198764       212777718.          268.4          286.0       139240.1
FMOVIE029a     N1538199302       212778256.          268.4          289.7       139233.3
FMOVIE029a     N1538199840       212778794.          268.4          293.3       139232.2
FMOVIE029a     N1538200378       212779332.          268.5          297.0       139220.4
FMOVIE029a     N1538200916       212779870.          268.5          300.7       139234.9
FMOVIE029a     N1538201454       212780408.          268.6          304.4       139231.1
FMOVIE029a     N1538201992       212780946.          268.6          308.0       139240.1
FMOVIE029a     N1538202530       212781484.          268.6          311.7       139233.9
FMOVIE029a     N1538203606       212782560.          268.7          319.1       139247.2
FMOVIE029a     N1538204144       212783098.          268.8          322.7       139235.9
FMOVIE029a     N1538204682       212783636.          268.8          326.4       139250.2
FMOVIE029a     N1538205220       212784174.          268.9          330.1       139224.7
FMOVIE029a     N1538205758       212784712.          268.9          333.7       139239.9
FMOVIE029a     N1538206296       212785250.          268.9          337.4       139247.4
FMOVIE029a     N1538206834       212785788.          269.0          341.1       139227.5
FMOVIE029a     N1538207910       212786864.          269.1          348.4       139243.8
FMOVIE029a     N1538208448       212787402.          269.1          352.1       139227.9
FMOVIE029a     N1538208986       212787940.          269.1          355.8       139259.5
FMOVIE029a     N1538210062       212789016.          269.2            3.1       139250.6
FMOVIE029a     N1538210600       212789554.          269.3            6.8       139220.7
FMOVIE029a     N1538211138       212790092.          269.3           10.4       139268.2
FMOVIE029a     N1538212214       212791168.          269.4           17.8       139269.5
FMOVIE029a     N1538212752       212791706.          269.4           21.4       139232.2
FMOVIE029a     N1538213290       212792244.          269.5           25.1       139265.9
FMOVIE029a     N1538213828       212792782.          269.5           28.7       139256.1
FMOVIE029a     N1538214366       212793320.          269.6           32.4       139249.7
FMOVIE029a     N1538214904       212793858.          269.6           36.1       139212.6
FMOVIE029a     N1538215442       212794396.          269.6           39.7       139247.5
FMOVIE029a     N1538215980       212794934.          269.7           43.4       139217.3
FMOVIE029a     N1538216518       212795472.          269.7           47.0       139243.2
FMOVIE029a     N1538217594       212796548.          269.8           54.3       139239.0
FMOVIE029b     N1538269441       212848395.           83.2           46.8       139530.8
FMOVIE029b     N1538270015       212848969.           83.3           50.7       139516.1
FMOVIE029b     N1538270593       212849547.           83.3           54.6       139520.1
FMOVIE029b     N1538271171       212850125.           83.4           58.5       139511.2
FMOVIE029b     N1538271749       212850703.           83.4           62.4       139515.0
FMOVIE029b     N1538272327       212851281.           83.5           66.4       139507.0
FMOVIE029b     N1538272905       212851859.           83.5           70.3       139518.2
FMOVIE029b     N1538273483       212852437.           83.5           74.2       139513.3
FMOVIE029b     N1538274061       212853015.           83.6           78.1       139523.2
FMOVIE029b     N1538274639       212853593.           83.6           82.0       139519.1
FMOVIE029b     N1538275217       212854171.           83.7           86.0       139529.4
FMOVIE029b     N1538275795       212854749.           83.7           89.9       139527.8
FMOVIE029b     N1538276373       212855327.           83.8           93.8       139524.2
FMOVIE029b     N1538276951       212855905.           83.8           97.7       139521.0
FMOVIE029b     N1538277529       212856483.           83.9          101.6       139513.7
FMOVIE029b     N1538278107       212857061.           83.9          105.5       139516.2
FMOVIE029b     N1538278685       212857639.           83.9          109.4       139532.0
FMOVIE029b     N1538279263       212858217.           84.0          113.3       139520.9
FMOVIE029b     N1538279841       212858795.           84.0          117.3       139564.4
FMOVIE029b     N1538280419       212859373.           84.1          121.2       139523.4
FMOVIE029b     N1538280997       212859951.           84.1          125.1       139601.6
