Wave 	Occultation Pair 	    d_time       d_longitude  d_phase 	sigma_phase
                                    (days)         (deg)      (deg)        (deg)
W82.00 RSCnc085e-RSCnc085i          0.03051        16.9       241.2         2.7
W82.06 RSCnc085e-RSCnc085i          0.03137        17.4       242.2         6.0
W82.21 RSCnc085e-RSCnc085i          0.03381        18.7       242.4         7.2
W83.63 RSCnc087e-RSCnc087i          0.03478        18.9        48.5         7.1
W84.64 RSCnc087e-RSCnc087i          0.04799        25.9       223.8         5.0
W84.82 RSCnc087e-RSCnc087i          0.05003        26.9       311.8         6.6
W84.86 RSCnc087e-RSCnc087i          0.05052        27.2       312.1        11.1
W83.63 RSCnc085e-RSCnc085i          0.05166        28.2       280.4        12.3
W80.98 RSCnc080e-RSCnc080i          0.05501        31.3       124.3         7.0
W81.02 RSCnc080e-RSCnc080i          0.05536        31.5       205.9        18.5
W84.64 RSCnc085e-RSCnc085i          0.06133        33.3       180.1         7.6
W84.82 RSCnc085e-RSCnc085i          0.06293        34.1       298.1         1.6
W82.00 RSCnc080e-RSCnc080i          0.06393        36.0       131.4         6.8
W82.06 RSCnc080e-RSCnc080i          0.06434        36.3       135.8         5.3
W86.4i RSCnc087e-RSCnc087i          0.06527        34.7       225.5         3.2
W86.4o RSCnc087e-RSCnc087i          0.06552        34.8       296.5         2.2
W82.21 RSCnc080e-RSCnc080i          0.06555        36.9       135.4         5.0
W87.19 RSCnc087e-RSCnc087i          0.07165        37.9       165.6        12.3
W83.63 RSCnc080e-RSCnc080i          0.07621        42.4        78.0        11.0
W86.58 RSCnc085e-RSCnc085i          0.07685        41.0       347.8        17.2
W86.59 RSCnc085e-RSCnc085i          0.07699        41.1       255.5         0.7
W87.19 RSCnc085e-RSCnc085i          0.08117        43.1       159.8         7.5
W84.64 RSCnc080e-RSCnc080i          0.08301        45.8       125.9         6.1
W84.82 RSCnc080e-RSCnc080i          0.08419        46.4       280.9         4.2
W86.59 RSCnc080e-RSCnc080i          0.09506        51.6       350.4         9.6
Mi 6:2 RSCnc080e-RSCnc080i          0.11289        59.8       326.0        15.5
W80.98 gamCru187e-gamCru187i        0.12416        73.6       164.6         7.0
W82.00 gamCru187e-gamCru187i        0.12854        75.5       263.1         2.0
W82.06 gamCru187e-gamCru187i        0.12875        75.6       261.7         5.5
W82.21 gamCru187e-gamCru187i        0.12939        75.9       258.2         7.9
W83.63 gamCru187e-gamCru187i        0.13534        78.4       309.6         9.2
W84.64 gamCru187e-Whya189i          0.13944        80.1        16.0         1.4
W84.64 Whya189e-Whya189i           0.13944        80.1        16.0         1.4
W84.64 gamCru187e-gamCru187i        0.13944        80.1       356.6         1.0
W84.64 Whya189e-gamCru187i          0.13944        80.1       356.6         1.0
W84.82 gamCru187e-gamCru187i        0.14018        80.4       224.9         0.8
W84.86 gamCru187e-gamCru187i        0.14036        80.5       246.2         3.6
W86.4i gamCru187e-gamCru187i        0.14650        82.9       237.4         8.1
W87.19 gamCru187e-gamCru187i        0.14955        84.1       325.2         7.1
Mi 6:2 gamCru187e-gamCru187i        0.15985        87.9       222.0         7.9
W86.59 betGru078i-gamCru078i        0.53795       114.2       126.9         4.1
W85.67 betGru078i-gamCru078i        0.53837       117.0       274.3         4.0
W84.86 betGru078i-gamCru078i        0.53919       120.3       115.0         6.0
W84.82 betGru078i-gamCru078i        0.53926       120.5       108.5         8.5
W84.64 betGru078i-gamCru078i        0.53957       121.4        40.8         1.7
W85.67 RCas185i-muCep185e           0.56515       278.9         8.5         2.2
W84.82 RCas185i-muCep185e           0.57120       280.2       158.3        10.9
W82.21 RCas185i-muCep185e           0.59019       284.7       327.6         5.6
W82.06 RCas185i-muCep185e           0.59131       285.0       322.0         8.9
W82.06 RCas191i-muCep191i           0.88710         6.6        85.5         6.3
W84.64 RCas191i-muCep191i           0.88806         6.4       308.8         6.8
W85.67 RCas191i-muCep191i           0.88845         6.3       337.8         1.1
W85.67 RCar191i-RCas191i           2.98280       204.6       154.2         2.3
W85.67 RCar191i-muCep191i           3.87125       210.9       131.6         0.8
W86.59 gamCru081i-RSCnc080e         5.09932        47.6        30.7         5.6
W86.58 gamCru081i-RSCnc080e         5.09941        47.6        62.0         9.9
W86.4o gamCru081i-RSCnc080e         5.10006        47.8        77.7         3.1
W86.4i gamCru081i-RSCnc080e         5.10021        47.8         2.8         2.6
W85.67 gamCru081i-RSCnc080e         5.10366        48.8       218.0         2.7
W84.86 gamCru081i-RSCnc080e         5.10765        49.9        25.1         6.6
W84.64 gamCru081i-RSCnc080e         5.10878        50.2       199.7         5.4
W84.86 gamCru086i-RSCnc085e         5.11334        54.8       355.4         8.1
W83.63 gamCru081i-RSCnc080e         5.11395        51.7       185.4         5.2
W82.21 gamCru081i-RSCnc080e         5.12178        54.2       230.8         5.1
W82.06 gamCru081i-RSCnc080e         5.12265        54.5       155.9         5.0
W82.00 gamCru081i-RSCnc080e         5.12294        54.6       134.4         4.4
W81.02 gamCru081i-RSCnc080e         5.12895        56.7       178.2        14.4
W80.98 gamCru081i-RSCnc080e         5.12919        56.8        46.9         6.5
W82.21 gamCru086i-RSCnc085e         5.13278        62.0       182.0         5.6
W82.06 gamCru086i-RSCnc085e         5.13426        62.7       118.2         6.5
W82.00 gamCru086i-RSCnc085e         5.13478        62.9        84.4         6.0
W82.00 gamCru086i-RSCnc085i         5.16529        79.8       323.2         0.8
W82.06 gamCru086i-RSCnc085i         5.16563        80.0         0.9         1.6
W82.21 gamCru086i-RSCnc085i         5.16658        80.7        68.2         3.7
